A,B,C,D,E,F
14,99.01,3,32.25,24.6638,35.2235
1,-4.69,5,58.4,8.91007,4.5399
7,43.13,21,266.21,58.2194,48.8518
28,211.35,7,84.13,-4.81453,-6.38908
32,243.01,28,357.2,-45.825,-4.00916
28,211.17,36,461.01,-25.3587,-88.4361
34,259.06,34,435.28,15.1037,18.6515
23,171.08,24,305.53,5.73407,4.01503
2,3.52,31,396.46,3.06418,2.57115
30,227.25,19,240.47,26.9717,66.7572
3,11.09,5,58.56,-44.5133,-71.236
19,139.39,14,175.42,27.483,89.8926
21,155.46,21,266.03,-11.7414,-7.62494
38,291.45,16,201.38,-46.2217,-21.5535
16,115.48,8,97.25,35.5618,50.7874
13,91.02,5,58.36,49.4451,26.2904
24,179.24,16,201.36,65.2542,30.4285
9,59.23,19,240,26,45.0333
31,234.99,25,318.24,-9.85059,-12.6082
